diameter_km,depth_km,circularity,center_x,center_y,confidence
3.2858897332920622,47.2,0.8927387648746967,1980,8,0.8927387648746967
2.59281792577143,24.800001,1.111712424183585,1994,8,1.0
1.6273715780512878,18.4,1.2762720155208533,2020,8,1.0
3.2232956248285585,25.6,1.027834947927076,2042,10,1.0
7.291809335695799,46.4,0.31990338785015954,2176,19,0.31990338785015954
1.6273715780512878,10.8,1.2762720155208533,276,12,1.0
3.2858897332920622,20.4,0.8927387648746967,340,16,0.8927387648746967
3.8563503319209347,22.4,0.7356073646929072,524,18,0.7356073646929072
2.59281792577143,36.0,1.111712424183585,636,14,1.0
7.539059177177062,71.6,0.30673525298817345,780,24,0.30673525298817345
1.6273715780512878,30.0,1.2762720155208533,788,12,1.0
4.797934031310951,36.4,0.5392889255651588,814,12,0.5392889255651588
