diameter_km,circularity,center_x,center_y,confidence
4.209928082843396,0.830409496002988,539,11,0.830409496002988
1.6273715780512878,1.2762720155208533,776,8,1.0
1.6273715780512878,1.2762720155208533,1112,8,1.0
2.59281792577143,1.111712424183585,1152,10,1.0
3.2858897332920622,0.8927387648746967,1200,12,0.8927387648746967
4.712249745098538,0.6300189994214888,1248,12,0.6300189994214888
1.6273715780512878,1.2762720155208533,1260,8,1.0
5.165955948094119,0.5072010464480319,1445,14,0.5072010464480319
5.434993784527796,0.5427552239280127,1628,12,0.5427552239280127
2.59281792577143,1.111712424183585,1648,10,1.0
10.652281831926796,0.17301380429786956,1652,36,0.17301380429786956
1.6273715780512878,1.2762720155208533,1676,8,1.0
7.985226133325027,0.2929006639473586,1791,20,0.2929006639473586
1.6273715780512878,1.2762720155208533,1888,8,1.0
